台番号,棚段番号,棚位置,商品コード,フェース数,在庫数量,奥行陳列数
1,1,1,4902102141109,3,12,
1,1,2,4902102141123,3,12,
1,1,3,4902102113724,3,12,
1,2,1,4901777088108,3,12,
1,2,2,4901870169230,3,24,
1,2,3,4901870169254,3,16,
1,3,1,4902102151023,3,12,
1,3,2,4902102151566,3,24,
1,3,3,4901777300521,3,16,
2,1,1,4901777278639,3,18,
2,1,2,4901085161982,3,18,
2,1,3,4901085613580,3,18,
2,1,4,4902102147309,3,21,
2,1,5,4902102107341,2,14,
2,2,1,4902102107860,4,28,
2,2,2,4901777204980,4,24,
2,2,3,4901777235434,4,24,
2,2,4,4901777235298,4,24,
2,2,5,4901777235335,3,18,
2,3,1,4902102151573,5,20,
2,3,2,4901777300545,4,16,
2,3,3,4901777391581,3,15,
2,3,4,4901777349926,4,16,
2,3,5,4901777269378,4,20, 
